,Site Number,Site Name,Year,Average Daily Volume,Latitude,Longitude
1891,101230,104 Avenue West of  36 Street,2014,400.0,53.5578815,-113.3980334
1893,105116,120 Avenue West of  81 Street,2017,2100.0,53.5735576,-113.4666696
1894,110731,67 Street North of 114 Avenue,2011,700.0,53.5676404,-113.4430804
1895,100904,102 Avenue West of 104 Street,2016,7600.0,53.5430013,-113.5002862
1896,233332,69 Avenue West of 170 Street,2016,15200.0,53.5046358,-113.6183941
1897,338123,215 Street North of Suder Greens Drive,2015,8400.0,53.5222884,-113.6889549
1898,110817,73 Street North of 112 Avenue,2017,1500.0,53.5625342,-113.4489439
1901,110007,Abbottsfield Road North of 118 Avenue,2015,3300.0,53.5722866,-113.3882937
1903,526640,103 Avenue West of  57 Street,2013,1100.0,53.5447487,-113.4250849
1904,230050,61 Avenue West of 108 Street,2017,21900.0,53.498171,-113.51019
1905,519400,66 Avenue West of  94 Street,2017,2400.0,53.5029027,-113.4741789
1906,433829,40 Street North of Harrow Circle,2014,7100.0,53.5906958,-113.4029077
1907,525168,95 Avenue West of  83 Street,2018,2000.0,53.5317668,-113.4565972
1909,100912,102 Avenue West of 106 Street,2016,6400.0,53.5430013,-113.5037576
1910,406384,135 Avenue West of 102 Street,2014,3200.0,53.5967432,-113.4963202
1911,230086,61 Avenue West of 111 Street,2012,21200.0,53.4982542,-113.5184885
1912,252893,109A Street North of  57 Avenue,2018,100.0,53.4956595,-113.5135512
1913,112091,105 Street North of  99 Avenue,2011,15600.0,53.5380204,-113.5010956
1914,253277,James Mowatt Trail SW North of Rutherford Road SW,2015,23100.0,53.422731,-113.5162672
1915,316343,Yellowhead Trail West of 170 Street,2016,63600.0,53.571891,-113.622706
1917,431611,Fraser Way North of 147 Avenue,2014,1000.0,53.6108043,-113.3675014
1918,255479,116 Street North of  87 Avenue,2015,8700.0,53.5237961,-113.5305934
1919,330205,Clifton Place South of 102 Avenue,2017,100.0,53.5426058,-113.5394247
1920,110557,58 Street North of 119 Avenue North,2014,800.0,53.5728794,-113.4306877
1921,230086,61 Avenue West of 111 Street,2017,27800.0,53.4982542,-113.5184885
1922,223420,Whitemud Drive West of 111 Street,2016,95500.0,53.4831068,-113.5228682
1923,515224,38 Avenue West of  31 Street,2012,14100.0,53.4731518,-113.38922
1926,255407,116 Street North of  42 Avenue,2017,300.0,53.4798529,-113.5331115
1929,252833,109 Street North of  84 Avenue,2014,31000.0,53.520508,-113.5120583
1930,534907,50 Street North of  90A Avenue,2012,29800.0,53.523779,-113.418586
1931,522072,82 Avenue West of  79 Street,2013,27800.0,53.518045,-113.450159
1932,251615,106 Street North of  75 Avenue,2018,4300.0,53.511738,-113.504442
1934,509840,21 Avenue West of Parsons Road,2018,6600.0,53.4514141,-113.4814005
1935,258737,141 Street SW North of  28 Avenue SW,2015,5600.0,53.41459,-113.5654241
1937,525648,98 Avenue West of  50 Street,2018,6800.0,53.538154,-113.4211099
1938,239271,Saskatchewan Drive East of 116 Street,2016,4900.0,53.5300883,-113.5273108
1939,532519,34 Street North of  78 Avenue,2017,13800.0,53.5149737,-113.3938875
1941,250247,Calgary Trail North of Anthony Henday Drive,2016,86500.0,53.4441353,-113.4927769
1943,113113,124 Street North of Jasper Avenue,2017,21300.0,53.5424776,-113.5359173
1946,303756,91 Avenue West of 142 Street,2017,1700.0,53.5249082,-113.566809
1947,314964,118 Avenue West of 142 Street,2014,16800.0,53.5703908,-113.5678702
1949,102826,112 Avenue West of  89 Street,2015,18500.0,53.561108,-113.4788194
1952,101660,106A Avenue West of  85 Street,2016,1000.0,53.5551036,-113.4745476
1953,520824,76 Avenue West of  50 Street,2017,4900.0,53.512487,-113.4195092
1956,516920,43 Avenue West of  33 Street,2018,6000.0,53.4804524,-113.3930241
1957,541871,100 Street North of 72 Avenue,2018,400.0,53.5100751,-113.4887119
1958,539615,85 Street North of  88 Avenue,2011,8300.0,53.5240207,-113.4585577
1960,527044,Fulton Road West of  52 Street,2015,1000.0,53.5474472,-113.4214247
1963,111369,92 Street North of 108 Avenue,2018,900.0,53.555937,-113.4800245
1967,101586,106 Avenue West of 104 Street,2014,4100.0,53.5498142,-113.5001153
1968,253145,110 Street North of  88 Avenue,2018,3300.0,53.5243094,-113.5149811
1970,226954,53 Avenue West of 108 Street,2015,400.0,53.4903307,-113.511168
1972,104532,Princess Elizabeth Avenue West of 102 Street,2016,18400.0,53.5688687,-113.4973005
1973,518820,63 Avenue West of  86 Street,2016,27700.0,53.499909,-113.460448
1974,534207,47 Street North of  20 Avenue,2016,900.0,53.4528761,-113.4141852
1975,515772,Mill Woods Road West of  87 Street,2016,11400.0,53.4741902,-113.463504
1976,209368,11 Avenue West of 106 Street,2016,1100.0,53.4414624,-113.5001243
1977,330009,122 Street North of 120 Avenue,2016,400.0,53.5744867,-113.5324639
1978,437649,Wayne Gretzky Drive NB North of 118 Avenue,2017,21700.0,53.5712506,-113.4521186
1979,232420,67 Avenue West of 104 Street,2017,300.0,53.5034483,-113.4989462
1980,252545,109 Street North of Bearspaw Drive,2015,2500.0,53.445318,-113.508102
1982,700015,Anthony Henday Drive East North of Whitemud Drive,2017,49000.0,53.4934446,-113.3435075
1983,251429,106 Street North of  36A Avenue,2011,10200.0,53.4718457,-113.5041083
1985,530683,17 Street SW North of  28 Avenue SW,2016,700.0,53.416112,-113.3690032
1986,500136,41 Avenue SW West of  50 Street SW,2012,500.0,53.3960182,-113.4243745
1987,100016,Queen Elizabeth Park Rd NW North of Saskatchewan Dr NW,2017,14300.0,53.5248493,-113.4993509
1989,526012,Baseline Road West of  17 Street,2014,27900.0,53.5412217,-113.3834464
1992,525716,98 Avenue West of  75 Street,2017,25700.0,53.5375447,-113.4438898
1993,315312,120 Avenue west of 126 Street,2016,500.0,53.5735042,-113.5401891
1994,112775,116 Street North of 108 Avenue,2015,6600.0,53.553613,-113.5212764
1995,112129,105 Street North of 121 Avenue,2018,2300.0,53.5763557,-113.5010686
1996,252773,109 Street North of  75 Avenue,2017,35400.0,53.5120325,-113.5120404
1997,260565,Carter Crest Road East North of Cheriton Crescent East,2015,700.0,53.4644206,-113.5742914
1999,214756,Hodgson Road West of Hodgson Way,2012,900.0,53.4571387,-113.5607206
2000,101538,106 Avenue West of  90 Street,2013,600.0,53.5525658,-113.4763733
2001,105778,122 Avenue West of  95 Street,2016,5600.0,53.5766067,-113.4883162
2002,516412,41 Avenue West of  66 Street,2015,2700.0,53.4782045,-113.4431163
2004,111903,101 Street North of 111 Avenue,2012,10500.0,53.559364,-113.493739
2005,225526,Lessard Road West of Dalhousie Way,2016,10500.0,53.4855363,-113.6420193
2008,540541,91 Street South of  63 Avenue,2016,19900.0,53.498757,-113.4671732
2009,514776,37A Avenue West of  23 Street,2014,3300.0,53.4727825,-113.3777536
2010,441233,97 Street North of 125A Avenue,2018,58300.0,53.5840175,-113.4920304
2011,537591,Hardisty Drive North of 106B Avenue,2012,300.0,53.5533352,-113.4353732
2013,111811,100 Street North of  97 Avenue,2017,300.0,53.5346158,-113.4908703
2014,520900,76 Avenue West of  78 Street,2015,4600.0,53.5122892,-113.4480176
2015,538039,75 Street North of  81 Avenue,2018,41600.0,53.5175244,-113.4428735
2017,534723,50 Street SW North of  41 Avenue SW,2014,21100.0,53.4100441,-113.4181692
2019,430645,3 Street NE North of 161 Avenue NE,2018,600.0,53.6240979,-113.3354945
2020,314884,118 Avenue West of 126 Street,2017,30500.0,53.570316,-113.5400362
2021,443293,113A Street Northof 132 Avenue,2015,15700.0,53.5932579,-113.5165909
2022,226258,51 Avenue West of 122A Street,2014,1900.0,53.4882493,-113.542986
2024,422020,McConachie Drive West of  50 Street,2015,2400.0,53.631264,-113.4193
2028,252887,109A Street North of  54 Avenue,2011,100.0,53.4928614,-113.5135602
2029,537975,75 Street North of Whitemud Drive EB,2016,37100.0,53.4851617,-113.4426577
2031,334353,153 Street North of  89 Avenue,2017,700.0,53.5222456,-113.5850833
2032,111963,102 Street North of 111 Avenue,2016,2200.0,53.5594467,-113.4955108
2033,227398,54 Avenue  West of 107 Street,2015,400.0,53.4915774,-113.5106104
2035,330433,127 Street North of 112 Avenue,2012,1900.0,53.5613965,-113.5411784
2039,411084,147 Avenue West of Fraser Way,2015,900.0,53.6099879,-113.3691561
2040,100756,Jasper Avenue West of 117 Street,2015,22900.0,53.5409384,-113.5240823
2042,541239,Parsons Road SW North of Ellerslie Road SW,2017,16300.0,53.4271789,-113.4799346
2043,408476,139 Avenue West of 114 Street,2016,3500.0,53.6018292,-113.5202512
2044,314908,118 Avenue West of 130 Street,2015,24700.0,53.570284,-113.5465833
2045,220990,40 Avenue West of 111 Street,2015,6100.0,53.4757906,-113.5192619
2047,252893,109A Street North of  57 Avenue,2014,100.0,53.4956595,-113.5135512
2048,111031,82 Street North of 125 Avenue,2016,31100.0,53.5815723,-113.4673171
2049,210334,Mactaggart Drive west of Mclay Crescent,2017,3200.0,53.4446656,-113.5651183
2050,402912,Hermitage Road West of Habitat Crescent W,2015,13900.0,53.5893773,-113.4164155
2051,101590,106 Avenue West of 105 Street,2013,3100.0,53.5498142,-113.501887
2053,103232,113 Avenue West of 109 Street,2018,1500.0,53.5625983,-113.5090456
2054,541315,97 Street North of  39 Avenue,2011,9500.0,53.4750413,-113.479413
2055,256781,Saskatchewan Drive North of University Avenue,2014,20500.0,53.5205508,-113.5386693
2056,402834,Fort Road East of  62 Street,2014,27900.0,53.5884485,-113.4359847
2057,409140,141 Avenue West of  80 Street,2016,800.0,53.6037663,-113.4655904
2058,435163,Manning Drive North of 158 Avenue,2015,36200.0,53.6205082,-113.3995982
2059,538087,75 Street North of  95 Avenue,2017,40900.0,53.534573,-113.4429275
2061,436693,66 Street North of Anthony Henday Drive N WB,2018,2800.0,53.6527568,-113.4376395
2062,111127,86 Street North of 113 Avenue,2012,11700.0,53.5637841,-113.4733785
2063,541903,100 Street North of  82 Avenue,2015,2100.0,53.5186526,-113.488685
2064,534939,50 Street North of 103 Avenue,2018,15600.0,53.5461274,-113.4186098
2066,113021,121 Street North of 102 Avenue,2016,2400.0,53.5437601,-113.5308362
2067,265499,184 Street North of  66 Avenue,2015,4700.0,53.5010894,-113.6396811
2068,436609,66 Street North of 128 Avenue,2018,19600.0,53.5868576,-113.4429545
2069,332957,142 Street North of 105 Avenue,2015,13400.0,53.5482433,-113.5657658
2073,535711,57 Street North of Austin O'Brien Road,2018,1600.0,53.537138,-113.423704
2074,523568,90 Avenue West of  58 Street,2015,9200.0,53.5246783,-113.4280527
2075,330353,Groat Road North of 111 Avenue,2011,32000.0,53.560064,-113.551469
2076,504624,Ellerslie Road SW West of  34 Street SW,2016,4000.0,53.4250086,-113.401109
2077,101680,107 Avenue West of  32 Street,2018,200.0,53.5605578,-113.3921518
2078,539687,Lakewood Road West North of  27 Avenue,2016,3700.0,53.4581668,-113.4598617
2080,511360,28 Avenue West of  66 Street,2015,11700.0,53.4584131,-113.4358318
2083,311256,107 Avenue West of 156 Street,2012,21200.0,53.551189,-113.592375
2085,104335,118 Avenue West of Wayne Gretzky Drive SB,2016,20000.0,53.5704228,-113.4558238
2086,330273,126 Street North of 118 Avenue,2015,500.0,53.5709943,-113.5395146
2088,330485,127 Street North of 123 Avenue,2013,18900.0,53.5784862,-113.5411964
2089,431649,18 Street North of 167 Avenue,2017,1300.0,53.629265,-113.368951
2090,316343,Yellowhead Trail West of 170 Street,2011,63500.0,53.571891,-113.622706
2091,333901,149 Street North of 107 Avenue,2014,22700.0,53.5520529,-113.5780326
2093,538067,75 Street North of  90 Avenue,2016,42500.0,53.5265815,-113.4428196
2094,257735,Magrath Boulevard North of McClung Crescent,2013,800.0,53.4474562,-113.5534091
2095,111551,95 Street North of 110A Avenue,2017,11500.0,53.559292,-113.48659
2097,535575,56 Street North of  85 Avenue,2014,900.0,53.520909,-113.4228546
2098,538567,Stanton Drive SW North of  11 Avenue SW,2016,5300.0,53.424119,-113.4552842
2099,507620,12 Avenue West of  45 Street,2018,2400.0,53.4411517,-113.4113253
2101,311832,107A Avenue West of 139 Street,2015,100.0,53.5516202,-113.5627261
2102,515232,38 Avenue West of  34 Street,2013,6800.0,53.4728949,-113.3963246
2103,539235,83 Street North of Argyll Road,2015,16600.0,53.504026,-113.4539712
2105,100920,102 Avenue West of 108 Street,2015,7200.0,53.5430066,-113.5075707
2106,435389,58 Street North of 128 Avenue,2018,1700.0,53.5869697,-113.4306158
2107,444729,127 Street North of 129 Avenue,2016,25900.0,53.5884485,-113.5412593
2108,431105,Meridian Street North of Manning Drive,2014,800.0,53.6701133,-113.3431208
2109,318040,140 Avenue West of 127 Street,2017,7300.0,53.6020587,-113.5430939
2111,518884,63 Avenue West of 100 Street,2017,29100.0,53.499886,-113.490105
2112,431609,17 Street North of Hayter Road,2017,700.0,53.5723881,-113.3606935
2113,437073,Ozerna Road North of 164 Avenue,2011,700.0,53.6262954,-113.4481885
2117,541735,99 Street North of  60 Avenue,2013,24600.0,53.496235,-113.486159
2118,100580,MacDonald Drive West of 100 Street,2014,2900.0,53.539425,-113.49132
2119,337397,Ray Gibbons Drive North of Anthony Henday Drive,2012,16800.0,53.5924839,-113.6498884
2121,421852,Schonsee Way West of  79 Street,2016,1000.0,53.6308925,-113.4668944
2122,113073,123 Street North of Jasper Avenue,2015,1100.0,53.5422104,-113.5341277
2123,256859,Rutherford Road West SW North of  15 Avenue SW,2016,3700.0,53.4199389,-113.536358
2126,252743,109 Street North of  70 Avenue,2018,22400.0,53.5070694,-113.5120044
2127,427280,Manning Drive West of Meridian Street,2016,23700.0,53.6614013,-113.3577707
2128,409880,144 Avenue West of Manning Drive NB,2015,6700.0,53.6069093,-113.4116581
2129,532107,32 Street North of  23 Avenue,2012,3400.0,53.454322,-113.3864231
2131,204700,Ellerslie Road SW West of 111 Street SW,2011,13700.0,53.4248586,-113.5195587
2136,256313,119 Street North of  32A Avenue,2015,18400.0,53.4659036,-113.5387322
2138,514792,37A Avenue West of  28 Street,2018,2900.0,53.4722579,-113.3843367
2141,409296,142 Avenue West of Clareview Station Drive,2017,4500.0,53.6040438,-113.4125844
2142,600019,James MacDonald Bridge,2017,50100.0,53.535781,-113.4880734
2143,237790,81 Avenue West of 109 Street,2018,400.0,53.5171126,-113.5134883
2144,113137,124 Street North of 111 Avenue,2016,13800.0,53.5596657,-113.5359713
2145,308032,100 Avenue West of 147 Street,2017,700.0,53.539255,-113.5753346
2146,311832,107A Avenue West of 139 Street,2014,100.0,53.5516202,-113.5627261
2147,212782,Tory Road West of Tory Crescent East,2015,700.0,53.4517943,-113.5713596
2149,431613,18 Street North of 153 Avenue,2011,3000.0,53.616876,-113.369025
2151,330169,125 Street North of 118 Avenue,2016,600.0,53.5710637,-113.537716
2153,112129,105 Street North of 121 Avenue,2016,2400.0,53.5763557,-113.5010686
2154,408184,139 Avenue West of  40 Street,2015,5000.0,53.6003029,-113.4052639
2155,110063,34 Street North of 114 Avenue,2014,4000.0,53.567237,-113.393709
2156,252665,109 Street North of  54 Avenue,2011,2400.0,53.4924923,-113.5118875
2158,112173,106 Street North of 117A Avenue,2014,14000.0,53.5696698,-113.5029392
2159,415678,157 Avenue West of Eaux Claires Transit Center Access,2017,4200.0,53.6176597,-113.4902048
2161,100094,Fortway Drive NW West of Legislature Building Road NW,2015,1800.0,53.5321303,-113.5092794
2162,521272,78 Avenue West of  77 Street,2013,300.0,53.5141876,-113.4477928
2163,257291,127 Street SW North of Ellerslie Road SW,2015,5900.0,53.4289579,-113.5409625
2166,515332,38 Avenue West of Grand Meadow Crescent,2018,6700.0,53.4742438,-113.4322705
2168,223306,Whitemud CD Eastbound West of 106 Street,2017,2500.0,53.4809715,-113.5052864
2170,254513,113 Street North of  67 Avenue,2014,25100.0,53.5064704,-113.523084
2171,261923,Riverbend Road North of Rabbit Hill Road,2016,10400.0,53.4732856,-113.5925746
2173,430645,3 Street NE North of 161 Avenue NE,2015,400.0,53.6240979,-113.3354945
2174,504624,Ellerslie Road SW West of  34 Street SW,2011,3100.0,53.4250086,-113.401109
2177,315884,Sherbrooke Avenue West of 129 Street,2017,1500.0,53.5782192,-113.5459897
2178,252197,108 Street North of  35A Avenue,2016,1000.0,53.4701113,-113.5088298
2179,268247,205 Street North of  56 Avenue,2017,2000.0,53.4925725,-113.6743139
2182,235966,76 Avenue West of 150 Street,2015,1000.0,53.5089413,-113.5802629
2183,255251,115 Street North of  80 Avenue,2013,1900.0,53.5165191,-113.5288577
2184,251159,105 Street North of  82 Avenue,2018,5400.0,53.5185564,-113.5004841
2185,517876,Whitemud Drive West of  91 Street,2015,102900.0,53.4813568,-113.4764182
2187,230260,62 Avenue West of 105A Street,2016,600.0,53.4989336,-113.5036587
2188,100990,102A Avenue West of  95 Street,2012,3800.0,53.5458335,-113.4812206
2189,104794,119 Avenue West of  81 Street,2017,700.0,53.5719609,-113.4666246
2190,431685,18 Street North of Fort Road North,2013,800.0,53.6468347,-113.3689673
2191,407340,137 Avenue West of  27 Street,2015,4600.0,53.5996412,-113.3845705
2192,512536,Silver Berry Road West of  22 Street,2016,1700.0,53.4637139,-113.3744441
2193,408476,139 Avenue West of 114 Street,2017,4600.0,53.6018292,-113.5202512
2194,533791,Mill Woods Road East North of  33 Avenue,2013,4700.0,53.4634462,-113.4066039
2196,218074,34 Avenue West of 114 Street,2015,5900.0,53.4673758,-113.5330665
2197,262847,Wanyandi Road North of Wanyandi Way,2013,1300.0,53.498864,-113.603896
2198,519652,Argyll Road West of  81 Avenue,2017,22600.0,53.5036195,-113.4521006
2200,235936,76 Avenue West of 119 Street,2014,1200.0,53.5124443,-113.537698
2201,516480,41 Avenue West of  93 Street,2017,2100.0,53.476449,-113.4739001
2202,100696,Jasper Avenue West of 102 Street,2014,18000.0,53.5409278,-113.4964551
2203,541323,97 Street North of  42 Avenue,2014,9400.0,53.4794194,-113.479422
2204,431153,Meridian Street North of 227 Avenue,2011,100.0,53.687217,-113.344387
2205,435689,59A Street North of 153 Avenue,2014,7300.0,53.6165981,-113.4328551
2207,410112,144 Avenue West of  94 Street,2013,9600.0,53.6067865,-113.4882173
2208,531327,24 Street North of  23 Avenue,2014,7400.0,53.4549753,-113.3778706
2209,404636,132A Avenue West of Clareview Road,2016,3000.0,53.5933006,-113.3855508
2210,337337,Anthony Henday Drive West North of Stony Plain Road,2016,95000.0,53.5487242,-113.6590075
2212,437905,74 Street North of 137 Avenue,2017,5300.0,53.6003189,-113.455464
2214,316700,128 Avenue West of 149 Street,2017,5600.0,53.5856351,-113.5792017
2215,266027,188 Street North of Lessard Road,2015,1800.0,53.4845784,-113.6488362
